Year,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge
2023,82,80,4,4.15,162,5973,5323,673,1207,221,15,219,650,100,30,557,1427,0.227,0.304,0.397,0.701,96,113,0.984,28.5,4.31,3.97,162,3,8,44,1439.2,1272,698,635,195,508,1439,1.236,9,1.22,96,113,0.984,29.1
2022,99,63,1,4.98,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,0.241,0.325,0.426,0.751,74,102,0.987,30.3,3.5,3.3,162,1,16,47,1451.2,1177,567,532,157,444,1459,1.117,9.05,0.97,74,102,0.987,29.2
2021,92,70,2,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,98,115,0.983,29.3,4.13,3.74,162,3,13,47,1435.1,1243,669,596,196,492,1569,1.209,9.84,1.23,98,115,0.983,29.3
2020,33,27,2,5.25,60,2210,1915,315,473,87,7,94,301,27,7,251,480,0.247,0.342,0.447,0.789,48,37,0.976,28.5,4.5,4.35,60,2,2,14,500.2,455,270,242,83,168,528,1.244,9.49,1.49,48,37,0.976,29.2
2019,103,59,1,5.82,162,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,102,135,0.982,28.3,4.56,4.31,162,1,9,50,1443,1374,739,691,248,507,1534,1.304,9.57,1.55,102,135,0.982,30.2
2018,100,62,2,5.25,162,6271,5515,851,1374,269,23,267,821,63,21,625,1421,0.249,0.329,0.451,0.781,94,95,0.984,27.2,4.13,3.78, ,2,11,49,1456.1,1311,669,611,177,494,1634,1.239,10.1,1.09,94,95,0.984,28.8
2017,91,71,2,5.3,162,6354,5594,858,1463,266,23,241,821,90,22,616,1386,0.262,0.339,0.447,0.785,95,102,0.984,28.6,4.07,3.72,162,2,7,36,1448.2,1248,660,599,192,504,1560,1.209,9.69,1.19,95,102,0.984,27.8
2016,84,78,4,4.2,162,6059,5458,680,1378,245,20,183,647,72,22,475,1188,0.252,0.315,0.405,0.72,86,116,0.985,30.1,4.33,4.16,162,0,10,48,1428.1,1358,702,660,214,444,1393,1.262,8.78,1.35,86,116,0.985,27.9
2015,87,75,2,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,93,135,0.985,31.4,4.31,4.03,162,3,4,48,1457.2,1416,698,652,182,474,1370,1.297,8.46,1.12,93,135,0.985,27.4
2014,84,78,2,3.91,162,6082,5497,633,1349,247,26,147,591,112,26,452,1133,0.245,0.307,0.38,0.687,92,107,0.984,32.8,4.1,3.75,162,5,10,48,1453,1392,664,605,164,398,1370,1.232,8.49,1.02,92,107,0.984,29.3
